NU_INSCRICAO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q025
2,10E+11;7;M;1;3;1;1;0;1;;0;;;;;3201506;Colatina;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;A
2,10E+11;6;M;1;1;1;1;0;1;;0;;;;;3203007;Iúna;32;ES;;;;1;1;1;1;496.4;607.8;614.3;598.3;1;1;160;200;160;160;140;820;B
2,10E+11;12;F;1;1;1;1;0;1;;0;;;;;3205002;Serra;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;A
2,10E+11;5;F;1;2;1;1;1;1;;0;;;;;3205309;Vitória;32;ES;;;;1;1;1;1;391.4;476.5;447.4;495.9;0;1;120;120;80;120;80;520;B
2,10E+11;9;M;1;3;1;1;5;1;;0;;;;;3203205;Linhares;32;ES;;;;0;1;1;0;;550.9;611;;0;1;120;180;120;120;80;620;B
2,10E+11;6;M;1;1;1;1;1;1;;0;;;;;3204708;São Gabriel da Palha;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;10;F;2;3;1;1;7;1;;0;;;;;3205002;Serra;32;ES;;;;0;1;1;0;;474.5;504.7;;1;1;80;120;80;100;100;480;B
2,10E+11;9;F;1;1;1;1;7;1;;0;;;;;3203007;Iúna;32;ES;;;;1;1;1;1;552.8;591.4;603;601.3;0;1;120;140;120;140;200;720;B
2,10E+11;3;M;1;1;1;2;0;2;1;0;3202405;Guarapari;32;ES;3202405;Guarapari;32;ES;2;1;1;1;1;1;1;473.7;593.4;555.8;631.3;0;1;140;200;140;160;200;840;B
2,10E+11;4;F;1;3;1;1;0;1;;0;;;;;3203056;Jaguaré;32;ES;;;;0;0;0;0;;;;;1;;;;;;;;B
2,10E+11;9;F;2;2;1;1;7;1;;0;;;;;3205200;Vila Velha;32;ES;;;;0;0;0;0;;;;;1;;;;;;;;B
2,10E+11;4;F;1;3;1;1;2;1;;0;;;;;3205200;Vila Velha;32;ES;;;;1;1;1;1;458.4;575.2;514.2;589.8;1;1;100;180;100;140;120;640;B
2,10E+11;3;F;1;1;1;2;0;2;1;0;3202405;Guarapari;32;ES;3202405;Guarapari;32;ES;2;1;1;1;1;1;1;451.8;496.6;514.6;515.4;0;1;120;160;120;120;160;680;B
2,10E+11;2;F;1;3;1;2;0;2;2;0;;;;;3201308;Cariacica;32;ES;;;;1;1;1;1;440.8;470.5;397.7;392.7;0;1;80;120;80;100;60;440;B
2,10E+11;4;F;1;1;1;2;0;2;1;0;3201308;Cariacica;32;ES;3201308;Cariacica;32;ES;2;1;1;1;1;1;1;495.7;561.4;470.8;458.7;0;1;160;200;120;160;140;780;B
2,10E+11;3;F;1;1;1;2;0;2;1;0;;;;;3201308;Cariacica;32;ES;;;;1;1;1;1;422.1;526.9;475.9;463.4;0;1;100;160;120;140;120;640;B
2,10E+11;5;F;0;3;1;1;0;1;;0;;;;;3203205;Linhares;32;ES;;;;1;1;1;1;437.3;483.6;459.4;606.6;1;1;120;120;100;120;40;500;B
2,10E+11;4;M;1;1;1;1;1;1;;0;;;;;3202405;Guarapari;32;ES;;;;0;0;0;0;;;;;1;;;;;;;;B
2,10E+11;4;F;1;1;1;2;0;2;1;0;3201308;Cariacica;32;ES;3201308;Cariacica;32;ES;2;1;1;1;1;1;1;567.3;513.4;456.4;567.4;0;1;120;120;100;120;120;580;B
2,10E+11;13;M;2;3;1;1;16;1;;0;;;;;3205002;Serra;32;ES;;;;0;1;1;0;;606.5;579.8;;0;1;120;120;100;80;120;540;B
2,10E+11;3;F;1;1;1;2;0;2;1;0;3203205;Linhares;32;ES;3203205;Linhares;32;ES;2;1;1;1;1;1;1;476.4;528.5;536.3;410.2;1;1;140;160;120;140;140;700;B
2,10E+11;3;M;1;1;1;3;0;1;;1;;;;;3203205;Linhares;32;ES;;;;1;1;1;1;602.5;635.2;573.1;770.9;0;1;160;160;140;120;80;660;B
2,10E+11;2;F;1;1;3;2;0;2;1;0;;;;;3201308;Cariacica;32;ES;;;;1;1;1;1;453.1;457.9;563.4;375.4;1;1;120;140;120;120;40;540;B
2,10E+11;4;M;1;3;1;2;0;2;1;0;3202405;Guarapari;32;ES;3202405;Guarapari;32;ES;2;1;1;1;1;1;1;499.8;540.5;510;491.9;1;1;120;120;100;140;120;600;B
2,10E+11;7;F;1;3;1;1;0;1;;0;;;;;3201308;Cariacica;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;6;F;1;3;1;1;0;1;;0;;;;;3205309;Vitória;32;ES;;;;0;0;0;0;;;;;1;;;;;;;;B
2,10E+11;17;M;4;3;1;1;0;1;;0;;;;;3205200;Vila Velha;32;ES;;;;1;1;1;1;501;523.8;478.8;580.4;1;1;80;80;120;100;120;500;B
2,10E+11;4;M;1;1;1;1;2;1;;0;;;;;3205200;Vila Velha;32;ES;;;;1;1;1;1;583.6;651;622;760.5;1;1;160;180;160;160;200;860;B
2,10E+11;4;F;1;1;1;1;2;1;;0;;;;;3201308;Cariacica;32;ES;;;;0;0;0;0;;;;;1;;;;;;;;B
2,10E+11;13;M;2;3;1;1;0;1;;0;;;;;3205200;Vila Velha;32;ES;;;;1;1;1;1;375;463.7;475.7;460.4;1;1;80;120;80;80;80;440;B
2,10E+11;2;F;1;1;1;2;0;2;1;0;;;;;3202405;Guarapari;32;ES;;;;1;1;1;1;413;494.8;552.8;579.5;0;1;160;180;140;160;160;800;B
2,10E+11;3;F;1;1;1;1;1;1;;0;;;;;3205002;Serra;32;ES;;;;1;1;1;1;452.3;482.7;517.9;502.1;1;1;120;80;100;100;0;400;B
2,10E+11;12;F;2;3;1;1;15;1;;0;;;;;3205200;Vila Velha;32;ES;;;;1;1;1;1;541;535.5;576.7;542.8;1;1;120;120;100;120;120;580;B
2,10E+11;7;F;1;3;1;1;0;1;;0;;;;;3205309;Vitória;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;5;F;1;1;1;2;0;2;1;0;3204203;Piúma;32;ES;3203403;Mimoso do Sul;32;ES;1;1;1;1;1;1;1;569.7;611.6;633.2;697;0;1;160;180;140;160;200;840;B
2,10E+11;5;F;1;2;1;1;2;1;;0;;;;;3201308;Cariacica;32;ES;;;;1;1;1;1;518.7;562.1;561.9;587.3;1;1;140;180;120;160;160;760;B
2,10E+11;8;F;1;1;1;1;4;1;;0;;;;;3201209;Cachoeiro de Itapemirim;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;9;F;0;1;1;1;0;1;;0;;;;;3205069;Venda Nova do Imigrante;32;ES;;;;0;0;0;0;;;;;1;;;;;;;;B
2,10E+11;6;F;1;1;1;1;2;1;;0;;;;;3205002;Serra;32;ES;;;;1;1;1;1;419;522.9;543;492.3;0;1;120;40;40;140;40;380;B
2,10E+11;3;F;1;3;1;2;0;2;1;0;3204401;Rio Novo do Sul;32;ES;3201209;Cachoeiro de Itapemirim;32;ES;2;1;1;1;1;1;1;447.1;528.7;548.8;448.3;1;1;80;200;140;120;140;680;B
2,10E+11;2;F;1;1;1;3;0;1;;1;;;;;3201209;Cachoeiro de Itapemirim;32;ES;;;;1;1;1;1;433.7;511.8;549.1;413.5;0;1;120;120;120;140;120;620;B
2,10E+11;11;M;1;3;1;1;0;1;;0;;;;;3203205;Linhares;32;ES;;;;1;1;1;1;431;540.5;569.9;424.2;0;1;120;120;100;80;120;540;B
2,10E+11;3;F;1;1;1;1;1;1;;0;;;;;3204708;São Gabriel da Palha;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;3;M;1;3;1;2;0;2;1;0;3205309;Vitória;32;ES;3205309;Vitória;32;ES;2;1;1;1;1;1;1;496.2;466.4;451.8;545;1;1;100;180;140;140;140;700;B
2,10E+11;3;F;1;3;1;2;0;2;1;0;3205002;Serra;32;ES;3205002;Serra;32;ES;2;1;1;1;1;1;1;415.1;575.2;521.7;612.1;0;1;160;200;140;120;80;700;B
2,10E+11;13;F;2;3;1;1;16;1;;0;;;;;3201209;Cachoeiro de Itapemirim;32;ES;;;;0;0;0;0;;;;;1;;;;;;;;B
2,10E+11;4;F;1;3;1;1;1;1;;0;;;;;3205200;Vila Velha;32;ES;;;;1;1;1;1;547.7;560.2;572.5;559.2;0;1;160;200;140;180;200;880;B
2,10E+11;3;F;1;4;1;2;0;2;1;0;3201308;Cariacica;32;ES;3201308;Cariacica;32;ES;2;1;1;1;1;1;1;407.5;491;492.5;447.4;1;1;100;100;120;120;160;600;B
2,10E+11;4;M;1;2;1;2;0;2;;0;;;;;3201308;Cariacica;32;ES;;;;1;1;1;1;438.7;517.3;602;526;0;1;120;40;40;120;20;340;B
2,10E+11;10;F;1;1;1;1;7;1;;0;;;;;3205309;Vitória;32;ES;;;;1;1;1;1;486.2;584.5;583.1;645.2;1;1;120;200;140;180;200;840;B
2,10E+11;8;F;1;3;1;1;0;1;;0;;;;;3205200;Vila Velha;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;12;F;2;2;1;1;0;1;;0;;;;;3205200;Vila Velha;32;ES;;;;1;1;1;1;461.6;591.5;559;583.3;1;1;100;140;100;140;160;640;B
2,10E+11;3;M;1;3;1;1;1;1;;0;;;;;3200409;Anchieta;32;ES;;;;1;1;1;1;515.9;530.5;614;541.4;0;1;120;180;120;180;180;780;A
2,10E+11;5;F;1;3;1;1;3;1;;0;;;;;3201308;Cariacica;32;ES;;;;1;1;1;1;449.5;511.4;404.1;450.9;0;1;100;120;100;120;60;500;B
2,10E+11;12;F;1;2;1;1;0;1;;0;;;;;3201308;Cariacica;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;A
2,10E+11;3;F;1;2;1;1;1;1;;0;;;;;3202306;Guaçuí;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;4;F;1;3;1;2;0;2;1;0;3205309;Vitória;32;ES;3205309;Vitória;32;ES;2;1;1;1;1;1;1;418.1;452.6;477;443.4;0;1;120;100;80;120;0;420;B
2,10E+11;13;F;3;2;1;1;12;1;;0;;;;;3201308;Cariacica;32;ES;;;;1;1;1;1;446.8;512.2;483.8;465.5;1;1;100;120;100;120;100;540;B
2,10E+11;4;F;1;2;1;1;1;1;;0;;;;;3205200;Vila Velha;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;3;M;1;3;1;2;0;2;1;0;3205309;Vitória;32;ES;3205309;Vitória;32;ES;2;1;1;1;1;1;1;510;0;396.8;579.2;0;1;160;200;160;180;160;860;B
2,10E+11;7;F;1;1;1;1;5;1;;0;;;;;3200201;Alegre;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;4;F;1;1;1;1;1;1;;0;;;;;3205200;Vila Velha;32;ES;;;;1;1;1;1;435.2;581.6;608.4;554;0;1;160;200;200;200;180;940;B
2,10E+11;6;F;1;1;1;1;4;1;;0;;;;;3202801;Itapemirim;32;ES;;;;1;1;1;1;442.8;424.7;487.6;576.9;0;1;120;120;100;100;80;520;A
2,10E+11;4;F;1;3;1;1;1;1;;0;;;;;3201308;Cariacica;32;ES;;;;1;1;1;1;607.3;518.6;536.4;380;1;1;120;40;40;100;40;340;B
2,10E+11;8;F;0;3;1;1;6;1;;0;;;;;3200607;Aracruz;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
