NU_INSCRICAO,FAIXA_ETARIA,SEXO,ESTADO_CIVIL,RACA,NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,IN_TREINEIRO,NO_MUNICIPIO_ESC,NO_MUNICIPIO_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"2,10E+11",17,M,0,parda,1,3,nao_respondeu,1,,São Mateus,1,1,1,1,508.0,345.4,521.4,498.7,ingles,1.0,100.0,120.0,80.0,120.0,120.0,540.0,sim
"2,10E+11",17,F,0,branca,1,3,nao_respondeu,1,,São Mateus,1,1,1,1,504.7,484.9,507.6,512.6,ingles,1.0,120.0,100.0,80.0,80.0,0.0,380.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Montanha,0,1,1,0,,462.3,350.9,,ingles,1.0,100.0,120.0,120.0,120.0,120.0,580.0,sim
"2,10E+11",18,F,1,branca,1,3,nao_respondeu,1,,Marataízes,0,0,0,0,,,,,ingles,,,,,,,,sim
"2,10E+11",<_17,F,1,branca,1,3,nao_respondeu,1,,Linhares,1,1,1,1,425.7,498.3,453.7,544.5,ingles,1.0,120.0,160.0,120.0,120.0,140.0,660.0,sim
"2,10E+11",<_17,F,1,branca,1,3,nao_respondeu,1,,Vitória,0,0,0,0,,,,,ingles,,,,,,,,sim
"2,10E+11",17,M,1,branca,1,3,nao_respondeu,1,,Serra,0,1,1,0,,429.1,523.0,,ingles,1.0,120.0,120.0,140.0,80.0,100.0,560.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,São Mateus,1,1,1,1,436.2,613.9,575.2,588.9,ingles,1.0,160.0,180.0,160.0,160.0,140.0,800.0,sim
"2,10E+11",17,F,1,parda,1,3,nao_respondeu,1,,São Mateus,1,1,1,1,385.3,539.8,500.7,582.7,espanhol,1.0,140.0,120.0,120.0,120.0,140.0,640.0,sim
"2,10E+11",18,F,1,preta,1,3,nao_respondeu,1,,Sooretama,1,1,1,1,454.6,502.1,487.4,502.4,ingles,1.0,80.0,120.0,80.0,100.0,80.0,460.0,sim
